고객번호,성별,연령대,투자성향,자산구간,주거래상품군,라이프스타일,서비스등급,총투자기간,주거래업종구분
ea9e25030cd6d9c3029c88fc6f3c686dc5c28a5354ad66a6cd8fd87c2554bccd,1,5,99,3,2,5,5,4,5
88fb40cc5dcca9aca7e7b9a3e7c8c6febe38768fbb8fb2d3237c673f85d10221,1,6,99,1,2,5,9,1,13
6df4210876e736596713bf562b5d66c45008c6e8dedb7a9f6298c7bf91f11692,2,3,3,2,2,4,5,5,16
63c540d528497465cdfa564bb91deb5469da9f7962a01a6164d2312bdca7116c,2,6,2,4,2,5,3,2,9
08d15187046d4698ab99d0768391ca96d47fa030c206d7cba0950ec6b0366684,2,4,5,1,2,4,9,1,5
39c9234c2cda189acb950b270c5f6358dfdc6deb52fd7e50ceb54830dc4a9af0,1,8,4,2,2,7,5,4,9
32962b27753add9e2f79bbde1188e169bd183c05f0311254d1ce335f274499f9,1,5,4,4,2,7,4,4,16
faa0e997dfaf488f69f37db66516edd94190abb9a6742ecdb76287cdfbb8812b,1,7,3,1,2,5,4,4,10
4d2a1ff36cdc0c50b4ede699f3e8720742d5b9f6dc1bc99413533dc1bfb1ef03,1,8,5,1,2,7,9,4,9
ac5a00d25cdef98278f07e5521939ef5b26b741582ce3cbd5812afeaa00167b2,1,9,99,2,2,9,5,4,5
bb46b4be64cededcc47669a51c9e1aa573444a699b40b657306d2a2e15e67528,1,7,4,3,2,7,4,3,10
d684864510b7d070c507fc3b1f62a41fc391c012ad0ce3024d8d8796b476930b,1,9,99,5,2,9,3,6,13
cf4edc2834b5ca4d40df31b7922c66ee75915569849346ad3a2e7e43ef507288,1,8,5,5,2,5,3,4,2
7ce2674ba3fca0b6de57e65b8ce3cb01fb7bce9c220ea329c404a62cc0349497,2,3,5,5,2,4,2,6,6
bd06f0e93234daa57c911b997f3ce3af62355a4083cec4e6afd730f2192d1548,1,2,2,3,3,2,4,3,9
3d9884f3e78f01e8b7fde508bcfc51c5154cef9e3a29fd37a224f92a3e697210,1,8,99,4,2,5,4,6,13
a5636e776bfbccdf3a4c36a0896aa87c9a8f2f32c28e73e364f2f19232d8708e,1,3,4,1,2,3,9,3,10
fb7a1a00b9ea2b43ea8a27f5d72954d6aae1056bb19d50a5c6f534553764eaf2,2,7,99,2,2,8,5,4,16
7979aea777cd13c43a1e4be82929270c6cc2f0ac708b6da895ff86c5feda7697,2,4,5,3,2,4,4,4,16
f751e4ffa8d25a1da29dc4f68f0236eff77f4ef6bc4ae82e56408b8bc53b5bc5,1,6,9,6,2,5,2,6,16
2a511e94a6117c3cf962ad397b4cb8c1641fe0ca14405da6eb514fe8899cafc0,1,5,99,3,2,7,4,4,10
216743dc72de651221eac0f40525d6ea407dabba1d8fe7e9ec3fc054366ea844,2,2,99,1,2,2,9,4,16
faba1959a89f29059ba4870a5addec29c076cf926611de6dd79a1180def2153b,1,8,4,3,2,5,5,6,10
5750cd5de10a23fbf86a06a6a33c60f05e74a8b550b0d51f0dfefe049d09ac70,2,2,99,1,6,2,9,4,9
f91f1d2b9ae68c0f4fef642fd7d5ed06caa8853bd554d4cf6b20dd221eef045f,1,4,5,5,2,3,2,6,9
fd8cc95a3e6064310113ab8bfee69af8505d33db0042732124816ce575faac91,2,5,5,3,3,5,3,4,16
b65144947be7521675fb50d3bcffcaf7283f7bb049b286b53d672d96e0bd2c62,1,4,2,2,2,3,4,4,10
6f98a52c40c07299a3afb7cfdc5d5acc41589fc2b648393939bb6f7bf14e78fd,1,5,99,4,2,5,4,4,8
d215b67a2a64c304ec60a6bcd2a06cfbed8b9251a2cfc2fb1fa32699667cf5ee,2,7,99,4,2,8,4,4,7
740ff22136c7ed726505821111826e72ee2ce2ebc05e87c8f659c4503745c7c6,1,5,3,2,2,5,5,5,2
19cd65f46d62bb3d873c6566d04f885d7fb10bf19c6ec3b060c2b35508c3738b,2,2,99,1,2,2,9,4,16
a0090b60e1c6045fa1b0c51cc2d89c2fbc407dcce03bd786537ab11710f61c29,1,6,99,4,2,7,4,4,10
dcbf5c243526ebca57d9d74f6b660e6b12169ed60e5d1fba682a1f5a2a10dd3e,1,7,99,2,2,5,4,4,13
fdc9dc2e5b091ded45e3afddd326789030bdbb81cbbafc9619d97fa4e811552c,1,3,3,2,2,3,5,4,16
90d2c8dbfb9f27a41a6317b69a7bfa7e5389cc50ba89d71c11d80598691e94e3,2,8,2,2,2,5,5,4,10
866e291be80aead073b3ba5fb5cee720e14eec167b2f6f5656b7a0493feea618,1,6,4,4,2,5,4,6,10
b733420b65b7b7704ada38ed0670cb2280da783248ccbc666f18898d036d2945,2,6,4,2,2,8,5,3,9
228fa1e7302c7eef8f7916e6f863f78b206fe851e7b80e17d62363ef61ee84cf,1,6,3,2,2,5,5,4,10
2cb60a5e86806eb2a9b6e1863d70452b1fa33efb3b42988116f68f89c198cc4f,1,5,99,1,2,5,4,4,16
ac32fd3df9b3c33f6010f4a192b70d956f261dd347fe50925a665e41a35cc29e,2,6,3,6,12,5,1,5,2
46b3b0ffe8e039c1e6786be594b607354da1c48509c8a117fc2f9223b420fc8f,1,3,99,1,2,3,9,3,16
7a6c801bc871766948f24b8d670faa5537b97de56565ea32ce1ae8f50b50a7cc,1,8,3,5,2,5,3,3,9
701ab5e0ad599b4a21c98125adfcc4126a979a1d2bdb880db7928104306349ba,1,3,4,3,2,3,2,3,10
5a09afe37b621c38756c7b4a7c4a8b0048f5164fffe9887a7cde023e694e509a,2,6,99,1,2,6,9,4,16
55633db10e112788b74f1ae6583d7756afca2d4340437a2fcaea7a12925007d9,1,4,4,6,2,3,1,5,10
b24fa43196a6ad0c3e9d51c25f3efb47aa41c539ce0d75aa3952e3da1838140d,2,8,0,2,2,6,5,6,12
ac21ac49d826d8e352d9ddbd4e90f2dbc889c862ec98228620ea096a61a734ef,1,5,5,5,2,7,3,3,10
2019ca6b31aa4bc69f78e8879f351d98ec35b862abbdc1e1b11cb013debd2d9b,1,5,4,4,2,7,4,1,2
8706adb2afe108a07e3b15fdffc031e33e84fdf79ae48c3062a5e5fb327ed076,2,6,4,5,2,8,4,4,10
b32a51643f6e79e1b6d70bdabda7ae1e6f4f847dc4fabe502ba080c4d53d6543,1,5,2,3,2,7,4,4,13
bbc33b1e5f5d8ff4f546c248dc0572d01a979ae63366bf192816a06cd97d96a6,1,6,99,6,2,5,2,4,1
90196b37d2b010da94ef43919a29245912046327190d0c7d6b1bda149b5ae77b,1,8,3,2,2,5,5,3,10
e77e425c81bd9a225dee38395703b46d94c5e76311db45e7ee8003ab12149403,1,8,4,1,2,5,9,4,16
cce55ebd18c54c06d4f67a6334ae68f947e375dc743f7157e136d02c153dc2fd,1,4,4,3,2,3,4,4,16
2e6d6994895e0d6b3b6eca13453f7b8a91c5a0d3e8e90150abc3c62cadf85870,1,4,4,4,2,3,4,4,8
4a06d8263707b0aa15a7a14c5b2c93a026ffa2394d12c652207268a75c61699a,2,3,99,2,2,4,5,4,13
a2d63873cf657308321c88dfe93d100f41f03b1dca1cc3a47052871e4e694684,1,8,5,5,2,5,2,5,2
dbf0089ffed2ddb50d2671ebf577b266191e77e5c83cbaf3c46729a61b042221,1,6,0,4,2,5,4,4,10
56dc90f2f827a00af0ad66e0937aae5eeb8bd3f775ec70590707060927db6f66,1,9,99,3,2,9,5,4,16
fa42d691f46c84c854648750de7e61ad7ed16e5d421074ba5c9e9c18f2dae67d,1,7,4,2,2,5,5,4,16
7f5997e27d5dd3edaa721d146a78bee02c9fdfbb4508230fd160a6536a875fb7,1,5,99,5,2,5,3,4,5
2280db8963b89d965ca5cb8efb1cdbc02b4cf2fe4bd13dcab0c64a905abce9db,2,8,4,2,2,6,5,4,10
e6ca814cd7525256bcaddc7d3348d592e1921de2b8d79963cca72f9f9d4863e5,1,4,3,3,2,3,4,4,11
0e694449c225ad553719915ffbd2a236a5d67e0448cee6357f2b4b9f8885842e,1,8,3,2,2,7,5,4,11
d40947ce82a01737c886f6579fac388026872eeef1ca9605a0793a0147c6f7aa,1,5,4,1,2,5,9,3,13
0cc16d481ac3b7472acf2fb64ed0df776a0bbd2700f1860be2e7220fa7206e7f,2,7,3,3,2,8,3,4,8
38cd7620ae524979227280d1175b68c0890674d9ee0f6dc435d7fb0c6a01f781,2,5,99,3,2,8,4,4,2
c85c5fdf52be91f849ba57065337a512f7a2d2118168140017eb7d371cacc3e8,1,7,5,5,2,7,3,4,7
77fbc1dd362c66a4bacbc9839375dab02fd45646596326d4b7ec926b1402aa0b,1,6,99,1,2,7,9,3,16
2127c270287fb5bfca0a19a9585b0c2c8622b232495a28f401f61bf0098d5d46,1,7,99,5,2,5,3,4,10
30bccdb98c1f70c963ecbf86e3832e9ea571d4ecdd2bedf70de6e6db41094752,1,5,4,1,2,5,9,3,16
609ac85fbda1f868256489650cdc07c418a518c84f9fece8a0ca2196b2602f47,1,3,5,3,2,3,4,4,9
4d5c421dacb742c80283142099c496b6d37c020cd1394d1beee2790a4c925244,1,7,5,5,2,5,3,4,2
8580be2c44f9d27af775018751f733b69db28eb43cdc96f8436e6807538f3c36,1,6,99,1,2,5,9,4,16
9152e4261557cc222a4c1e3c2088f0ca4ee85f67eb4744a6f3b4dc1a52d9314b,1,6,99,6,2,7,1,4,2
b55df735edcf06977c42df27273fbc6dd0e5861ce2890df6e8f75ae2d869a2ec,1,6,99,3,2,5,3,3,12
651bcd0292de64e8b8d7c2138db9352a5620a348886dd703fdf9ea131e41a1cb,1,3,4,2,2,3,5,2,9
fa0f537eca65d362165c254c02bb2105fce14d31b69447358a253aa9ef3edcf1,1,5,4,1,2,5,5,4,14
9d6a8209c2eaf7effc6918857c66a966ad5ccdab2f22979d80757fc377444276,1,4,5,1,2,3,5,4,10
aa39f4ef7cccfd4e9df8353fda18974f3aa04b2e18767604b386cdee9e9a3b34,1,5,99,2,2,5,5,3,13
f351a839e5ac2f7ef39e14af1dbfb1b6a048205706ec7599b6a9aa332100922b,1,4,4,4,2,3,4,3,10
36042ec13166eca3552e8caa71dacffbeb5552948711a6b8b8a6c5e2f7b3a253,1,4,3,3,2,3,4,4,10
4244633b78d31d5d5e3cc5ac09d0f658fd69233c6c4af64f7366cedeadc612dc,1,4,5,5,2,3,3,4,16
bd669ff7a474d3ea8c1a4ffefcafde36b8098909ce8128202a99c553d79a7868,1,8,5,3,2,5,4,2,16
4875c5db1e0b5b568b2ddac1278387a19874d7779b094984a3b44d3c527fef26,2,2,4,2,2,2,5,3,10
1682e49697d28106640c373e30c51980db11063bea3e2aab740058b172adab09,1,7,5,2,2,7,4,4,14
de41dfa9237286141189873cffcf92d436f978b9b37d33db4bfd8f4bbc60c4b8,1,4,99,1,2,3,9,2,9
a76932cca28c06769c2194578281fb9119c088eac0722f84183df7d3ad6cc447,1,3,99,1,2,3,9,4,5
ba793fa52ece0d6b30b97af69a3fa43988f3e5a76a32a8afde3c57e2f35d2924,1,9,2,6,2,9,5,4,7
1284bc6b21a485ed7fd0d3c2d0424701462b95e2c96a24885656269f7e577e41,1,5,99,1,2,5,9,3,16
27de5f4ca6b5afc298b6c91d2e3654c4b62163a04a55a88e8eef9a229cbf41fe,1,5,3,5,2,5,4,4,14
fca943c7344262fbfbfb8239d0ad6d70c90b6b84eb6f72ad6442a51bcf3c18af,1,4,4,2,2,3,4,4,5
0a9ef3049dc1bd09f9b11b1acc9c9674153ff6cd418cb0a445389e2b95ae0c04,2,5,99,1,2,6,9,2,16
fdda0c18524b6eb9ed17cefbfddbacab4588717f670db1aacb48519d22d3d9aa,1,4,5,2,2,3,4,3,16
53304e7de8e7056aaa28703ac008d57ae1297db1cc85bf0990610009038615ae,1,5,3,2,2,5,5,4,10
cc9a8a7eb7e6635ce9826fcb6b373608cf56e3d0f40a38465570c699ee7074fb,2,2,3,1,2,2,9,4,16
b36ed1eb8ba7a5ff0d3d2aa0633f7340e7f5136163bfa2b0796e1ee391eb7f2d,1,4,4,2,2,3,9,3,13
f70ef87199586cd9f3cd72e196c00c8feeb42b8ea274bf3e4525307d76e6fce5,1,3,99,1,2,3,9,1,10
786718e1a53ea36df2a7a98b938c396c2a7610e02daad69d70da10b561f30de2,2,3,0,4,2,4,4,4,10
5f866d3cb86f8f35f9144e2f4cf7ccc1939a5c280c18e28dbe43bf9572c2d261,1,7,4,2,3,7,4,4,16
758daf803a472413fe717aef7e5cc24c909ad89006a4f86b47ecfa4885533307,2,6,3,3,2,8,4,4,16
fdef136365404232e66bc65709d71b01d4417b0f5266f5c516424273d365df3e,1,4,4,1,2,3,9,3,8
7ccdd42eef97fb5db3bdf6372151ed01c08bb3022b99b42f8cf1435b5af78465,1,4,4,2,2,3,5,4,16
38c8624f2b8c8d83284510691663309bc7e868a0202149a551623c03194eb7fa,2,4,4,5,2,4,3,4,14
304ac9239c49b59dc4331352324cd7c0f5c010d81c6930c20cadb813e7878ef7,1,5,4,1,2,7,9,3,16
1ef827dd6a6d53300f42876720f5d759dede7626233dd0383a32b92361c415ca,1,7,5,1,2,5,4,4,10
94bc2390328ae1ae60c7d3744dd0cb3eeb4f2be5918a973d6b27263a5d48b6e3,1,6,2,1,2,5,9,3,4
3e2cbef41bd7b12e0efc82270e1296b30adc068642cf6efeb3187ea76e53bade,2,8,3,2,2,6,4,4,10
fe59cccaa7c9ed01e37362c29c2f3961c33bf4cf27f90c985177d54a4a287918,1,5,5,6,2,5,2,4,2
9495257a19a0b3a676eedce6c9197d35450298a6257f903c51f814fa56708ae6,2,6,5,4,2,8,5,1,12
e9a323ecb30bc5cc1bb3c1e659696f0a71c1d598e1992abc3daafcd5a62d33a1,2,4,2,1,2,4,9,4,16
f7f9f2dc89d6cc235f30caa632e05ba4ef52c331ef60e0e8d93829650e06a89b,1,3,0,2,2,3,5,3,16
4a9ddd09397ca54f90c67efcb399fe97a6bacd3f2d964832dde40d22fdddf83c,1,6,3,6,2,5,2,2,5
8cbc837c218469ff64556311ca8d1eff343bbbf9c436878942a7fa47dceff14b,1,6,5,2,2,5,4,2,10
d7801d13c35b6a6cc0672468b52c39891ffec049caa7f7ee5ce29692fda832f1,1,3,99,5,2,3,4,4,13
418926a4ae0029f2378e37dce0cd43cb587ad9f781c315f0b0e88307f01a44c5,1,4,4,2,2,3,4,3,5
4c4d70b858d5c8069b2686939eb5bfc8a42ff9851f1cebb800c0616013182706,1,7,4,3,2,5,3,4,5
63df6987a9958cb64d4c54d73fd705a4e13a700b4a1122f5a424201935553ccd,1,3,5,2,2,3,5,3,13
28e3c0efedbcc87f1527e454652de102dfc37dfe2dfea25c06af728f9cb5ec52,1,3,4,1,2,3,5,3,16
2c07951ae2a80d00dc0db399de1e8e2a051a07be3f1dba30c243e2cb81da0da9,1,9,5,4,2,9,3,3,4
61155e3f9c6ec7241e5ee9ada9c13f2e50c8ccd43531da7120b84b9945c91e08,1,6,99,5,2,5,3,4,12
c6e9d06198f20ec8b14a081f7f26193c18d2e1018596f08c7cf061332d322136,1,8,4,6,2,7,1,4,7
83ef3327f23b7ab14440f48413d29d7f60ddbfaba110516a85678b045e261481,1,4,99,1,2,3,9,4,16
54ee572ec1f9f37f1674af1f822f8cc853c591ad964c49d30dd9ee6c9171e2d9,1,4,4,2,2,3,4,4,14
3094591d126a0902c796e7ed707c387ac61971f3da4e3bf545f65c5a02467154,1,5,5,4,3,7,4,4,10
445820c94d96083d8ce2cbdf212602095e1dfd2d3478d2f279ef2d129141c7aa,1,8,5,5,2,7,3,4,14
73811343ff31fd80d833f2a91e7bbf932e4ad1ccc08389de537f8e521d066af1,1,7,5,1,2,5,3,5,14
8c666e9c6eef59d3cd8fbad914428241b102dc66138501d45701adc4848ce84a,2,4,2,1,2,4,9,4,16
5650538b84c7265dedaaceadb6d4f8dba79b7a98d2a3420fe238862721290d34,1,8,4,5,2,5,3,6,16
1e8b750f347d428d8c90fb175c19dfa2edfbb2aaa6806795fe7ea61936f02953,1,8,4,2,2,7,5,2,7
316bffa1988f4eb9536aa5325be89f2d097ce8683b379a515c3fbf8af5cb0f7c,2,9,99,4,2,9,4,4,16
3cc30bbc4d25614251c3c352cf54875c4a9f056b2e07d39e8ad46fe391563889,1,5,5,3,2,5,4,4,14
812dd1c6d18fe62f0f27fe36c52adab759b5ef297b49ee67521f8e8d70045e29,2,2,99,1,2,2,9,3,6
e63287e82a6d4252ff30be9d10fe5e45dd6d6fd5fdec06cc1c96370aa927da7e,1,4,4,2,2,3,5,4,8
527f624c91c3a9d21a7f5f3398c974097af7a3ca46c6f2d5929fdb1ac71b12cd,1,7,4,5,2,7,3,4,14
4b96fc46d026f7eb8e595c6db497df8c0171cdc6f489644f942543efba688d88,1,3,99,2,2,3,4,4,16
b57ea0732c0e53925134b828fd38a2bd9a1748ebe7edb44e21286baf8dc495a6,1,7,3,3,2,7,4,4,14
be37092e2ca5b687889a20f2bf8df977cf95836ce3dc493a0f3f2f274660cbcd,1,4,99,2,2,3,5,3,16
