iem_cd,iem_krl_nm,btp_cfc_cd,mkt_pr_tal_scl_tp_cd,stk_dit_cd
A059270,해성티피씨,14,99,99
A060080,제4기한국,14,99,99
A060240,룽투코리아,13,03,99
A060260,뉴보텍,10,03,99
A060300,레드로버,05,03,99
A060540,에스에이티,13,03,99
A060560,홈센타홀딩스,07,03,99
A060570,드림어스컴퍼니,13,02,99
A061460,한진피앤씨,14,02,99
A063570,한국전자금융,02,03,99
A064090,에프앤리퍼블릭,07,03,99
A064350,현대로템,06,02,01
A064550,바이오니아,10,02,99
A064960,SNT모티브,06,02,01
A065060,지엔코,10,03,99
A065130,탑엔지니어링,10,03,99
A065160,라임,14,03,99
A065420,에스아이리소스,14,03,99
A065450,빅텍,10,03,99
A065560,녹원씨엔아이,10,03,99
A065620,제낙스,10,03,99
A065650,메디프론,07,03,99
A065690,파커스,13,03,99
A065710,서호전기,10,03,99
A065770,CS,13,03,99
A065940,바이오빌,14,03,99
A066590,우수AMS,10,02,99
A066670,디스플레이텍,13,03,99
A066790,씨씨에스,04,03,99
A067080,대화제약,10,02,99
A067170,오텍,10,02,99
A067280,멀티캠퍼스,13,03,99
A067830,세이브존I&C,07,03,99
A067990,도이치모터스,07,03,99
A068050,팬엔터테인먼트,05,03,99
A068270,셀트리온,08,01,01
A068290,삼성출판사,05,03,99
A068760,셀트리온제약,10,01,02
A069080,웹젠,13,01,02
A069540,라이트론,13,03,99
A069640,한세엠케이,07,03,99
A070960,용평리조트,05,03,99
A071050,한국금융지주,02,01,01
A071320,지역난방공사,09,02,99
A071950,코아스,14,03,99
A071970,STX중공업,03,03,99
A072020,중앙백신,10,03,99
A072520,제넨바이오,05,02,99
A072710,농심홀딩스,02,03,99
A073190,듀오백,10,03,99
A073240,금호타이어,12,02,01
A073560,우리손에프앤지,10,03,99
A073640,테라사이언스,10,03,99
A074150,엠제이비,14,03,99
A075970,동국알앤에스,10,03,99
A076080,웰크론한텍,01,03,99
A077970,STX엔진,03,03,99
A078020,이베스트투자증권,02,02,02
A078070,유비쿼스홀딩스,10,02,02
A078130,국일제지,10,02,02
A078150,HB테크놀러지,10,03,99
A078650,지나인제약,10,03,99
A078860,아이오케이,05,03,99
A078930,GS,02,01,01
A079370,제우스,10,02,99
A079430,현대리바트,14,03,99
A079440,오렌지라이프,14,01,99
A079660,사조해표,14,03,99
A079940,가비아,13,03,99
A080000,에스엔유,10,03,99
A080220,제주반도체,13,03,99
A080420,모다이노칩,13,02,99
A080530,코디,10,03,99
A082740,HSD엔진,03,03,99
A082850,우리바이오,10,02,99
A082920,비츠로셀,13,02,99
A083310,엘오티베큠,13,02,99
A083450,GST,13,03,99
A083550,케이엠,10,03,99
A083930,아바코,10,03,99
A084670,동양고속,06,03,99
A084730,팅크웨어,13,03,99
A084870,TBH글로벌,14,03,99
A085910,네오티스,10,03,99
A086790,하나금융지주,02,01,01
A087220,스틸플라워,14,03,99
A088290,이원컴포텍,10,03,99
A089010,켐트로닉스,10,02,99
A089030,테크윙,13,02,99
A089140,넥스턴바이오,10,03,99
A089590,제주항공,06,02,99
A090350,노루페인트,12,03,99
A090370,메타랩스,14,03,99
A091160,KODEX 반도체,14,99,99
A091180,KODEX 자동차,14,99,99
A091990,셀트리온헬스케어,07,01,02
A092040,아미코젠,10,02,02
A092780,동양피스톤,06,03,99
A093370,후성,12,02,01
A093380,풍강,10,03,99
A093640,다믈멀티미디어,13,03,99
A094360,칩스앤미디어,13,03,99
A094820,일진파워,01,03,99
A094840,슈프리마에이치큐,13,03,99
A095190,이엠코리아,10,02,99
A095610,테스,13,02,02
A096040,이트론,13,03,99
A096530,씨젠,10,01,02
A096630,에스코넥,13,03,99
A096760,JW홀딩스,02,03,99
A097870,효성오앤비,10,03,99
A097950,CJ제일제당,14,01,01
A098120,마이크로컨텍솔,13,03,99
A098460,고영,10,01,02
A099140,KODEX China H,14,99,99
A100030,모바일리더,13,03,99
A100590,머큐리,10,03,99
A100840,SNT에너지,03,03,99
A101170,우림기계,10,03,99
A101280,KODEX 일본TOPIX100,14,99,99
A101360,이엔드디,10,02,99
A101670,코리아에스이,10,03,99
A102120,어보브반도체,13,02,99
A102210,에이치디,10,03,99
A103140,풍산,11,02,01
A103230,에스앤더블류,10,03,99
A103840,우양,10,03,99
A104040,대성파인텍,10,03,99
A104110,신성이엔지,14,03,99
A104200,NHN벅스,13,03,99
A104520,KOSEF 블루칩,14,99,99
A104540,코렌텍,10,03,99
A105330,케이엔더블유,10,03,99
A106520,디지탈옵틱,10,03,99
A108230,톱텍,10,02,02
A108675,LX하우시스우,12,99,99
A109080,옵티시스,13,03,99
A109740,디에스케이,10,03,99
A109960,에이프로젠 H&G,07,03,99
A110020,전진바이오팜,10,03,99
A110570,넥솔론,14,03,99
A111710,남화산업,05,02,99
A111820,지유온,13,03,99
A111870,KH 일렉트론,10,03,99
A112240,에스에프씨,14,03,99
A114450,KPX생명과학,10,03,99
A115390,락앤락,12,02,01
A115450,지트리비앤티,07,01,02
A115570,스타플렉스,10,03,99
A115610,이미지스,13,03,99
A117700,KODEX 건설,14,99,99
A119650,KC코트렐,03,03,99
A119830,아이텍,13,03,99
A121850,코이즈,13,03,99
A122630,KODEX 레버리지,14,99,99
A122690,서진오토모티브,10,03,99
A123010,폴라리스웍스,13,03,99
A123040,엠에스오토텍,10,02,99
A123100,원익테라세미콘,14,02,99
A123310,TIGER 인버스,14,99,99
A123750,알톤스포츠,10,03,99
A123840,한일진공,10,03,99
A123860,아나패스,13,02,99
A126340,비나텍,13,02,99
A126640,화신정공,10,03,99
A126870,뉴로스,10,03,99
A127120,디엔에이링크,05,03,99
A128820,대성산업,07,03,99
A130500,GH신소재,10,03,99
A130740,티피씨글로벌,10,03,99
A131100,스카이이앤엠,07,03,99
A131290,티에스이,13,01,02
A131390,원익피앤이,10,02,99
A131890,KINDEX 삼성그룹동일가중,14,99,99
A133690,TIGER 미국나스닥100,14,99,99
A134060,이퓨쳐,10,03,99
A136480,하림,10,02,99
A137950,제이씨케미칼,10,03,99
A138070,신진에스엠,10,03,99
A138250,엔에스쇼핑,07,03,99
A138360,협진,10,03,99
A139050,시티랩스,13,03,99
A139220,TIGER 200 건설,14,99,99
A139250,TIGER 200 에너지화학,14,99,99
A139270,TIGER 200 금융,14,99,99
A139280,TIGER 경기방어,14,99,99
A139480,이마트,07,01,01
A139670,키네마스터,13,02,99
A140520,대창스틸,10,03,99
A140670,알에스오토메이션,13,03,99
A140710,KODEX 운송,14,99,99
A140860,파크시스템스,10,02,02
A141070,맥스로텍,10,03,99
A141080,레고켐바이오,05,01,02
A142220,이씨스,14,99,99
A143850,TIGER 미국S&P500선물(H),14,99,99
A144960,뉴파워프라즈마,10,02,99
A145730,솔젠트,14,99,99
A145995,삼양사우,14,99,99
A147830,제룡산업,10,03,99
A149940,모다,14,03,99
A150840,인트로메딕,10,03,99
A152100,ARIRANG 200,14,99,99
A152280,KOSEF 200 선물,14,99,99
A153460,네이블,13,03,99
A153760,이리언스,14,99,99
A154030,아시아종묘,14,03,99
A155660,DSR,11,03,99
A155960,지디,14,03,99
A157500,TIGER 증권,14,99,99
A158320,현대엠엔소프트,14,99,99
A159910,스킨앤스킨,13,03,99
A161000,애경유화,12,03,99
A161890,한국콜마,12,02,01
A168300,KTOP 코스피50,14,99,99
A169830,네이처리퍼블릭,14,99,99
A169950,KODEX 중국본토 A50,14,99,99
A170900,동아에스티,08,02,99
A170920,엘티씨,13,03,99
A171090,선익시스템,13,03,99
A173130,오파스넷,13,03,99
A174360,KBSTAR 중국본토대형주CSI100,14,99,99
A178320,서진시스템,13,01,02
A178780,유테크,13,03,99
A179900,유티아이,13,02,99
A180640,한진칼,06,01,01
A181340,이즈미디어,10,03,99
A182360,큐브엔터,05,03,99
A182400,엔케이맥스,10,01,02
A183490,엔지켐생명과학,10,01,02
A184230,SGA솔루션즈,13,03,99
A184390,한국코러스,14,99,99
A186230,그린플러스,10,03,99
A187270,신화콘텍,13,03,99
A187870,디바이스이엔지,13,02,99
A189300,인텔리안테크,10,02,99
A192410,THQ,13,03,99
A193250,와이제이엠게임즈,13,03,99
A194510,파티게임즈,14,03,99
A194700,노바렉스,10,02,99
A195930,TIGER 유로스탁스50(합성 H),14,99,99
A196030,KINDEX 일본TOPIX레버리지(H),14,99,99
A196170,알테오젠,05,01,02
A199890,티이씨씨,14,99,99
A200030,KODEX 미국S&P산업재(합성),14,99,99
A200050,KODEX 독일MSCI(합성),14,99,99
A200470,에이팩트,13,03,99
A203450,유니온커뮤니티,10,03,99
A204620,글로벌텍스프리,02,03,99
A204840,지엘팜텍,05,03,99
A205100,엑셈,13,03,99
A206640,바디텍메드,10,02,99
A207760,미스터블루,13,02,99
A208340,파멥신,10,02,99
A210980,SK디앤디,05,02,99
A211560,TIGER 배당성장,14,99,99
A213420,덕산네오룩스,13,01,02
A213630,ARIRANG 미국다우존스고배당주(합성 H),14,99,99
A213930,파로스백신,14,99,99
A214180,민앤지,13,02,99
A214260,라파스,10,03,99
A214310,에스엘바이오닉스,13,03,99
A214420,토니모리,12,03,99
A214450,파마리서치,07,02,02
A214610,미코바이오메드,10,03,99
A215100,로보로보,13,03,99
A215380,우정바이오,05,03,99
A215480,토박스코리아,07,03,99
A216050,인크로스,05,02,99
A217500,러셀,10,03,99
A219130,타이거일렉,13,03,99
A219480,KODEX 미국S&P500선물(H),14,99,99
A219550,자안코스메틱,07,03,99
A220180,핸디소프트,13,03,99
A220630,맘스터치,07,02,99
A222110,팬젠,10,03,99
A222180,ARIRANG 스마트베타 Value,14,99,99
A222190,ARIRANG 스마트베타 Momentum,14,99,99
A225330,씨엠에스에듀,05,03,99
A225590,패션플랫폼,10,03,99
A226380,KINDEX Fn성장소비주도주,14,99,99
A226400,오스테오닉,10,03,99
A227540,TIGER 200 헬스케어,14,99,99
A227550,TIGER 200 산업재,14,99,99
A228790,TIGER 화장품,14,99,99
A229640,LS전선아시아,02,03,99
A232080,TIGER 코스닥150,14,99,99
A233160,TIGER 코스닥150 레버리지,14,99,99
A234100,세원,10,03,99
A235370,로보케어,14,99,99
A236350,TIGER 인도니프티50레버리지(합성),14,99,99
A236490,충만,14,99,99
A237350,KODEX 코스피100,14,99,99
A237690,에스티팜,10,01,02
A238120,얼라인드,10,03,99
A238490,힘스,13,03,99
A238720,KINDEX 일본Nikkei225(H),14,99,99
A239890,피엔에이치테크,14,03,99
A240600,유진테크놀로지,14,99,99
A241390,KBSTAR V&S셀렉트밸류채권혼합,14,99,99
A241590,화승엔터프라이즈,14,02,01
A241660,하임바이오,14,99,99
A243840,신흥에스이씨,13,02,99
A243890,TIGER 200에너지화학레버리지,14,99,99
A244290,이루모,14,99,99
A244310,세미스트,14,99,99
A244580,KODEX 바이오,14,99,99
A245350,TIGER 유로스탁스배당30,14,99,99
A247540,에코프로비엠,10,01,02
A247580,엑스드론,14,99,99
A247790,KODEX 성장투자,14,99,99
A249420,일동제약,08,02,99
A250780,TIGER 코스닥150선물인버스,14,99,99
A250930,예선테크,10,03,99
A251340,KODEX 코스닥150선물인버스,14,99,99
A251590,ARIRANG 고배당저변동50,14,99,99
A251600,ARIRANG 고배당주채권혼합,14,99,99
A252710,TIGER 200선물인버스2X,14,99,99
A252720,KBSTAR 모멘텀밸류,14,99,99
A252990,샘씨엔에스,14,99,99
A253230,KOSEF 200선물인버스2X,14,99,99
A255890,이에스에스콤,14,99,99
A256450,ARIRANG 심천차이넥스트(합성),14,99,99
A257370,명성티엔에스,13,03,99
A258830,세종메디칼,10,03,99
A258840,세진하이테크,14,99,99
A259070,제이에스테크,14,99,99
A260270,KOSEF 저PBR가중,14,99,99
A260660,알리코제약,10,03,99
A261140,TIGER 우선주,14,99,99
A261200,덴티스,10,03,99
A261220,KODEX WTI원유선물(H),14,99,99
A262260,에이프로,10,02,99
A262840,아이퀘스트,14,99,99
A263020,디케이앤디,10,03,99
A263540,샘코,10,03,99
A263720,디앤씨미디어,13,02,99
A263750,펄어비스,13,01,02
A263860,지니언스,13,03,99
A264850,이랜시스,10,03,99
A265920,한화수성스팩,14,03,99
A266390,KODEX 경기소비재,14,99,99
A266550,ARIRANG 중형주저변동50,14,99,99
A267260,현대일렉트릭,09,02,99
A267290,경동도시가스,09,03,99
A267320,나인테크,13,03,99
A267980,매일유업,10,02,02
A269530,ARIRANG S&P글로벌인프라,14,99,99
A269620,시스웍,10,03,99
A270660,에브리봇,14,99,99
A270800,KBSTAR KQ고배당,14,99,99
A271530,진올바이오테크놀러지,14,99,99
A271980,제일약품,08,02,99
A272810,펀진,14,99,99
A273060,와이즈버즈,05,03,99
A275630,에스에스알,13,03,99
A277410,인산가,10,03,99
A277540,KINDEX S&P아시아TOP50,14,99,99
A279120,호그린에어,14,99,99
A281410,한국제6호스팩,14,03,99
A281740,레이크머티리얼즈,10,03,99
A282880,코윈테크,10,02,99
A284710,엠비지,14,99,99
A284740,쿠쿠홈시스,05,02,01
A285340,파이브지티,14,99,99
A287300,KBSTAR 200건설,14,99,99
A289040,KODEX MSCI KOREA ESG유니버설,14,99,99
A290270,휴네시온,13,03,99
A290520,신도기연,10,03,99
A290670,대보마그네틱,10,02,99
A291660,KODEX China H선물인버스(H),14,99,99
A291890,KODEX MSCI EM선물(H),14,99,99
A292050,KBSTAR KRX300,14,99,99
A292070,세미솔루션,14,99,99
A294080,메인라인,14,99,99
A294400,KOSEF 200TR,14,99,99
A295040,SOL 200TR,14,99,99
A297090,씨에스베어링,10,02,99
A297570,알로이스,13,03,99
A298380,에이비엘바이오,10,01,02
A298410,맘이랜서,14,99,99
A29923L,세븐브로이양평2우,14,99,99
A299900,위지윅스튜디오,05,02,99
A299910,베스파,13,03,99
A30018L,팝스라인2우,14,99,99
A300610,TIGER K게임,14,99,99
A300720,한일시멘트,11,02,99
A301410,ARIRANG 코스닥150선물인버스,14,99,99
A302550,리메드,10,03,99
A304660,KODEX 미국채울트라30년선물(H),14,99,99
A304670,KODEX 미국채울트라30년선물인버스(H),14,99,99
A304770,HANARO 코스닥150,14,99,99
A304840,피플바이오,10,02,99
A306950,KODEX KRX300레버리지,14,99,99
A307010,KBSTAR KRX300레버리지,14,99,99
A308460,엘텍코리아,14,99,99
A309110,비안랩,14,99,99
A309210,ARIRANG KRX300헬스케어,14,99,99
A310840,엔에이치스팩13호,02,03,99
A311120,미래오성모빌리티,14,99,99
A31134K,테디아일랜드1우,14,99,99
A312230,유니완,14,99,99
A312800,퓨젠바이오,14,99,99
A313100,나노레이,14,99,99
A313750,유안타제4호스팩,02,03,99
A314080,이노핀,14,99,99
A316320,메티메디제약,14,99,99
A316670,KOSEF 코스닥150,14,99,99
A317240,TS트릴리온,10,03,99
A317400,자이에스앤디,05,03,99
A317530,캐리소프트,05,03,99
A317830,에스피시스템스,10,03,99
A318000,한국바이오젠,10,03,99
A318010,팜스빌,10,03,99
A319400,현대무벡스,02,03,99
A321260,유진스팩4호,02,03,99
A321550,티움바이오,05,02,99
A321820,와이더플래닛,14,99,99
A322000,현대에너지솔루션,09,02,99
A322130,KINDEX 스마트로우볼,14,99,99
A322180,티라유텍,13,03,99
A322400,HANARO e커머스,14,99,99
A322410,HANARO 고배당,14,99,99
A32316K,테바1우,14,99,99
A323280,신영스팩5호,02,03,99
A326240,KBSTAR IT플러스,14,99,99
A328380,미래에셋대우스팩3호,02,03,99
A329560,상상인이안제2호스팩,02,03,99
A330860,네패스아크,13,02,99
A332290,대신밸런스제7호스팩,02,03,99
A332570,와이팜,13,02,99
A333970,ARIRANG KS밸류가중TR,14,99,99
A336260,두산퓨얼셀,09,01,01
A33637L,솔루스첨단소재2우B,09,99,99
A336730,비욘드바이오,14,99,99
A337120,KODEX Fn멀티팩터,14,99,99
A337160,KODEX 200ESG,14,99,99
A337450,SK5호스팩,02,03,99
A340750,씨엘바이오,14,99,99
A34385K,금축인터내셔널1우,14,99,99
A347000,센코,10,03,99
A347140,케이프이에스제4호,02,03,99
A347770,핌스,13,03,99
A347860,알체라,13,99,99
A350340,신명메디에스,14,99,99
A351320,IBKS제14호스팩,02,03,99
A352700,씨앤투스성진,14,99,99
A352910,오비고,14,99,99
A352940,인바이오,10,99,99
A35320K,대덕전자1우,09,99,99
A354200,엔젠바이오,05,99,99
A354500,KINDEX 코스닥150,14,99,99
A357580,아모센스,14,99,99
A360200,KINDEX 미국S&P500,14,99,99
A360750,TIGER 미국S&P500,14,99,99
A361670,삼영에스앤씨,14,99,99
A363280,티와이홀딩스,02,02,99
A364990,TIGER KRX게임K-뉴딜,14,99,99
A367360,DB금융스팩9호,14,99,99
A367380,KINDEX 미국나스닥100,14,99,99
A367460,유안타제7호스팩,02,99,99
A368680,KODEX Fn K-뉴딜디지털플러스,14,99,99
A371130,KINDEX 블룸버그베트남VN30선물레버리지(H),14,99,99
A371160,TIGER 차이나항셍테크,14,99,99
A371460,TIGER 차이나전기차SOLACTIVE,14,99,99
A375500,DL이앤씨,14,02,01
A375770,KODEX 탄소효율그린뉴딜,14,99,99
A376430,프라나랩,14,99,99
A377400,하이제6호스팩,14,99,99
A377630,삼성스팩4호,14,99,99
A38380K,LX홀딩스1우,14,99,99
A387270,TIGER 글로벌BBIG액티브,14,99,99
A390400,KODEX 미국스마트모빌리티S&P,14,99,99
A000050,경방,07,03,99
A000087,하이트진로2우B,14,99,99
A000105,유한양행우,08,99,99
A000140,하이트진로홀딩스,02,03,99
A000145,하이트진로홀딩스우,02,99,99
A000150,두산,05,02,01
A000210,DL,01,02,01
A000220,유유제약,08,03,99
A000230,일동홀딩스,08,03,99
A000250,삼천당제약,10,01,02
A000390,삼화페인트,12,03,99
A000400,롯데손해보험,02,02,99
A000430,대원강업,06,03,99
A000545,흥국화재우,02,99,99
A000547,흥국화재2우B,02,99,99
A000640,동아쏘시오홀딩스,02,02,99
A000720,현대건설,01,01,01
A000815,삼성화재우,02,99,99
A000970,한국주철관,11,03,99
A001045,CJ우,02,99,99
A001060,JW중외제약,08,02,01
A001140,국보,06,03,99
A001210,금호전기,09,03,99
A001275,부국증권우,02,99,99
A001340,백광산업,12,03,99
A001430,세아베스틸,11,02,99
A001510,SK증권,02,03,99
A001520,동양,11,03,99
A001527,동양2우B,11,99,99
A001620,케이비아이동국실업,06,03,99
