title,score,review
듄,10,개인적으로 이런 풍 영화 좋아하기도 했고사운드며 연출이며 다 좋았음 강추
듄,10,사람들이 재미없다해서 기대안했는데 나만 재밌나
듄,10,너무너무 기대됩니당 파트2
듄,1,스토리 개연성도 없고 재미도 없습니다. 최악.
듄,10,배부른 에피타이저 같은 영화.
정말 먼 곳,1,똥성애 게이 씹 0점 없냐
노회찬6411,1,미화도 적당히 하삼 서민타령하다 뇌물받고 자살한 인간을..
듄,5,베놈이 더 나으면 개추  일단 나부터 ㅋ
듄,10,사전에 원작 설정에 관한 지식이 필요하다길래 '그렇게 어려운 영환가?'싶어서 겁먹고 열심히 원작 공부해놓고 봤다. 미친 그냥 미친 영화던데.... 템포 느린것도 잘 모르겠고. 원작설정이 분명 도움은 됐지마는 이 영화를 보면서 지루하다고 느끼는 사람들은 원체 이해가 안간다. 드니빌뇌브의 다른 작품 '컨택트'도 보면서 하품했으려나..?
한창나이 선녀님,10,잔잔한 감동이 밀려옵니다우리 어머니의 삶을 보는듯 했어요선녀 어머니 새집에서도 행복하게 사세요
"극장판 포켓몬스터: 정글의 아이, 코코",10,아들이 정말 잼있게 잘 보네요
듄,9,지루한 부분이 없지않지만… 웅장해요 그냥 브금도 좋았고 퀄리티가 너무 좋았어요 무엇보다도 티모시 진짜 얼굴… 극락… 클로즈업 될 때마다 숨 막혀 ㄹㅇ 극락… 얼굴이 감동이야
라스트 듀얼: 최후의 결투,9,빠져 들 수 밖에 없게 만든 리들리 스콧 연출력은 정말 훌륭하더라
이스케이프 룸 2: 노 웨이 아웃,10,숨 쉴 틈을 안주네 ㅋㅋㅋ
라스트 듀얼: 최후의 결투,10,기대이상으로 좋았던 영화
노회찬6411,10,이제 다신 이런 정치인을 만날 수 없을 것 같다는 슬픔이… 애쓰셨습니다. 노회찬의원님.
라스트 듀얼: 최후의 결투,10,한 사건을 다른 시각으로 전개해 나가는 연출이 정말 훌륭했습니다 같은 상황이지만 모두 다르게 보고 해석하는 인간의 내면세계 차이를 느껴볼 수 있었습니다영화제목하고 포스터가 매력적이지 않아서 아쉽습니다 단순 중세 시대극 전쟁영화인줄 알았지만 정말 무거운 주제를 다룬 훌륭한 작품입니다
듄,9,첨 좀그런데...후반 끝내주더라 대작될듯 영상 OST ㅎㄷㄷ보는내내 소름!! 2편기대됨 꼭 영화관에서 봐야됨
올드보이,6,밥은 먹고 다니냐~ 밥 묵으라
바닐라 스카이,10,이터널선샤인 인셉션이 생각나는 영화
베놈 2: 렛 데어 비 카니지,1,유치하고 내용없고 시끄럽기만 하는 영화.시간낭비
라스트 듀얼: 최후의 결투,10,중세시대를 배경으로 한 영화는 진짜 오랜만에 보는거 같은데 정말 역대급이었다
베놈 2: 렛 데어 비 카니지,10,뭘 더 바라는 거지? 암튼 6점은 아님.
듄,4,지루하다 정말.. 단순하고 부실한 스토리에 비해 넘 길다.. 웅장한 음악도 좋고 영상미도 있으나 마지막까지 반복되는 슬로우모션과 늘어지는 음악의 반복. 일정한 템포. 똑같은 톤..  돈은 마니 들인거 알겠는데 이건 좀 아니다 싶다
듄,10,역시 영화는 이런거지요
인디아나 존스,10,80년대 중반 작품이지만 스필버그 의 서스펜스 와 어드벤쳐 의 즐거움이 너무 잘 느껴짐.몇년후에 스필버그 와 결혼 하게된 여주인공 케이트 캡쇼의 매력도 돋보임.
라스트 듀얼: 최후의 결투,10,와 진짜 함부로 평하기 힘든 완벽에 가까운 영화였다...ㄷㄷ
그것만이 내 세상,10,
인셉션,10,꼭 보세요. 진짜 인생 영화입니다.
삼총사,10,최고의 삼총사90년대 갬성이 느껴진다.all for love~~
수색자,6,이거 예전 gp503 사건 돌려 까는 내용 아닌가요?
라스트 듀얼: 최후의 결투,10,전개와 구성도 신선하고 배우들의 미묘한 표정 하나하나가 돋보인 영화.
듄,10,올해 본 영화 중 제일 재밌었음 (스파이더맨 개봉하면 바뀌려나ㅋㅋ)
"나, 다니엘 블레이크",10,나이가 들수록 정부의 정책들에 문제와 회의를 많이 느낍니다.그리고 그런 환경 속에서도 이웃을 돕는 좋은 이웃들이 있음에 감사합니다.결국 영화에 나오는 공무원도 자기가 겪어보지 않은 일에는 공감하지 못할 뿐...누구나 다 어려워질수 있기에 주변에 어려운 사람들을 돌아보아야 합니다.코로나 때문에 더 어려운 현실에 많은 공감이 되었습니다.
라스트 듀얼: 최후의 결투,10,배우들의 연기와 감독의 연출은 짱!!!
원스 어폰 어 타임... 인 할리우드,10,실제사건을 알고있어서 결말을 예상했는데.. 역시 쿠엔틴감독 답네요. ~ 시원한 결말~ 마지막을 위한 긴 스토리가 조금 지루할즘통쾌한 결말이 사이다임
라스트 듀얼: 최후의 결투,5,"반복해서 보여주는 장면이 많아서 지루했지만, 이 모든게 마지막 장을 위한 설계였다는게 느껴질 정도로 마지막 장이 흥미진진했기 때문에 잘만든 영화라고 봄"
듄,2,아니 솔직히 잠만 자다가 왔네.. 옆에 보니까 같이 자고 있는 동지가 있어서 뿌듯햇던 영화
최선의 삶,10,수고했고 잘했다고 강이를 안아주고 싶다
듄,10,"압도적 몰입감,  풍부한 영상미, 웅장한 사운드, 역대급 명작!! 이영화에서 부족한걸 꼽으라면 홍보를 잘 하지 못한 것 같다. 무조건 봐라 두번봐라 오징어게임 보다 재미있다"
이보다 더 좋을 순 없다,8,
올드 가드,10,잘봤습니다 2편이 기다려집니다
암살,10,최고의 시대물... 심심할 때마다 봄
수색자,1,네
용과 주근깨 공주,7,'죽은 엄마가 그리우면 엄마처럼 행동하면 된다. 뛰어난 재능(가창력)과 용기(헌신)가 요구되긴 하지만...' 이런 스토리가 이해하기 힘들다? 감점 요인은 '가수는 노래만 하자 연기는 제발...'
베놈 2: 렛 데어 비 카니지,8,서론이 너무 길었음... 머리만 먹는 베놈찡...
듄,1,진짜 20년 인생 본 영화중 제일 잠오고 긴게 결말도 흐지부지하고 걍 개똥보다 못합니다
듄,1,노잼노잼노잼노잼노재메
노회찬6411,2,뇌물 받고 죽은게 책임 지는 짓이냐?어처구니 없네 좌파 놈들.
부당거래,4,마지막 마동석죽이는거..거기서 이영화는 맛탱이가 갔음 훨씬좋은 영화만들수있었는데 결국 한국영화는 이따구라는 결론을만듬 그나물의 그밥인 한국영화 시시하다
007 노 타임 투 다이,8,007영화는 처음 보는데 주인공의 마지막 퇴장이 여운이 남아요...
뽀로로 극장판 공룡섬 대모험,10,2017년 12월 6일에 태어난 사람입니다. 오프닝송이 제가 엄마께 밥주라고 난리치는소리와 비슷하네요. 정말 감동받았습니다....!감사합니다.
라스트 듀얼: 최후의 결투,10,시간가는줄모르고 봤습니다
듄,2,재미 없고 졸려서 잤는데 평점 왜케 오바야
듄,10,정말 간만에 가슴이웅장해지는영화였다 소름이몇번돋았는지 사운드 짱 !
해어화,10,
정글 크루즈,10,보면 후회 안 하는 영화  기대했던거 보다 재밌었음!
듄,10,아직 내 입에서 모래가 씹힌다.
베놈 2: 렛 데어 비 카니지,1,1편보다 훨씬 못합니다. 극장에서 볼 필요까지는 없습니다.
그린랜드,1,초반 분위기 보고 노잉 생각하고 보면 큰일납니다대체 뭘 얼마나 보여주고 싶었던건지 모르겠지만 온갖 암덩이를 짬뽕 시켜놔서 정신없어요원하는 억지결말 만들어놓고 돌고돌고 돕니다킬링타임에 스트레스 받네요
라스트 듀얼: 최후의 결투,10,너무 잘봤어요 중세시대를 날 것 그대로 보는 느낌이였습니다
듄,10,"일단 무엇보다 연출에 감탄하면서 봤고, 스토리도 왜 명작이라하는지 단순에 알만큼 듄만에 멋진스토리가 인상깊었고, 티모시 샬라메의 연기도 눈에 띄었다"
8 마일,9,에미넴 개멋있다..띵작띵작
라스트 듀얼: 최후의 결투,10,요즘 보기드문 중세시대 영화라서 그런지 엄청 흥미롭게 봤어요!
고스트 스토리,6,길고 느린 호흡이 필요한 영화 마지막 장면에서 궁금증과 여운을 느끼게 된다
듄,8,파트2 언제 나와...
집으로 가는 길,9,우리나라에 민족성을 보는것같아 슬프다
듄,10,첨단의 끝. 우주에서도 여전한 ㅈ간들의 정치질
듄,1,와...드라마보는게 더 괜찮을듯 ㅜㅜ졸려 죽는줄...그냥 나옴 ㅜㅜ
조 블랙의 사랑,10,조의 눈빛... 수잔의 눈빛... 그리고 안소니 홉킨스의 연기력.... 시간가는줄 모르고 봤어요.제 인생영화 하나 추가입니다.. 눈물 줄줄
라스트 듀얼: 최후의 결투,10,리들리 스콧이 만든 영화라면 믿고 보는 거죠~
듄,2,아..이렇게 지루하고 재미없는 영화는 오랜만이었네요.
듄,10,전투신부터 눈을 뗄수 없이 몰아칩니다 최고
듄,10,Ost는 웅장하고 스토리도 영화화를 책그대로해서 좋음 근데 part1은 그저 '시작'일뿐임
라스트 듀얼: 최후의 결투,10,와 이거 실화라고 하던데 마치 역사를 체험한 것 같은 느낌입니다ㄷㄷ
도굴,10,배우들의 케미가 좋고 재밌게 봤습니다.
듄,10,방대한 스토리를 시작하기에 너무 좋은 작품인거같다. 아름다운사막과 생명들이 계속 눈을사로잡는다.
베놈 2: 렛 데어 비 카니지,10,카니지 완전 멋있고 재밌음 영화관에서 보는걸 추천함
베놈 2: 렛 데어 비 카니지,7,"내용 빈약, 액션도 빈약함. 그냥 한번은 볼 정도"
듄,9,스케일만 커도 만족이라고 생각하며 갔는데 의외로 정말 잘봤음
듄,2,컨택트 감독 답게 영상미와 사운드가 좋다 다만 그것밖에 없다 듄의 대서사시를 너무 지루하게 풀어낸다 매니악하게 풀어내서 호불호가 심하다 2편은 안볼거 같다
듄,10,
듄,10,"정말 훌륭하다. 연기, 스토리, 철학, 영상미, 음악 모든 것이... 오랜만에 가슴 뛴다. 매혹적인 시작. 사운드가 좋은 상영관에 갈 것을 추천하며 미리 세계관 정리해놓은 영상 정도는 유튜브나 블로그 등에서 찾아보고 갈 것을 강력하게 권한다. 그래야 재미있게 볼 수 있다"
듄,10,2편이 너무 기대되는 작품이네요초반에 전개가 조금 어려웠는데 그 이후부터는 시간가는줄 모르고 빠져서 봤어요어벤져스 이후 이런 느낌 오랜만인 것 같아요!
베놈 2: 렛 데어 비 카니지,1,1편을 나름 괜찮게 봐서 본건데너무 재미없었어요ㅠ진짜 시간이 더 길었으면 그냥 나왔을꺼에요
베놈 2: 렛 데어 비 카니지,10,재밌게 봤어요!계속 보고싶어요.
듄,10,말해뭐해.드뇌빌레브와 한스짐머. 이름만으로도. 기대이상.
듄,6,작은영화관이라 영수증이 없네요 원작 소설을 모르면 많이 지루해요 영상미가 좋으나 늘어지는 부분이 많고 영화인데 드라마같은 전개 …. 이겢뭐지 ..
다운사이징,5,참신한 소재로 흥미롭게 초중반을 이끌어가다가 갑자기 길을 잃어버리고 대충 짓이겨 마무리지어버림.
코다,10,간만히 기분 좋게 펑펑 울었다ㅎㅎ
듄,1,재미 없어서 졸았음 아 목이 뻐근하다 엄청 기대했는데 베놈 볼걸
듄,1,2시간 45분동안 지루하기만 했다.개인적으로 추천하는 영화는 아닌거 같습니다
해어화,8,영상미 너무 좋고..한효주 마음 너무 잘 알겠고…ㅠㅠ두 상간년놈들 주제에 어디 감히 조선의 마음을 갖다붙여
듄,1,소문난 잔치에 먹을께 없다.. 실망
듄,1,재미없어요 지루해요 ㄹㅇ
라스트 듀얼: 최후의 결투,10,사람의 기억이 이렇게 간사하다
듄,1,소설 안본 입장에서 ㄹㅇ 비추임 시간만 날림중간에 나가고 싶었음
라스트 듀얼: 최후의 결투,10,긴 러닝타임에 한 사건을 3명의 입장에서 다 보여주는.. 자칫 지루할 수도 있을 구성과 스토리 전개였는데도 전혀 지루하지가 않다.
아이언 이글 4,5,시리즈는 계속 되네 좀 아쉬운 내용의 영화
노회찬6411,10,투명인간처럼 살아가는 소외된 이들을 대변할 줄 알았던 사람. 바라던 결과를 얻지 못했어도 결코 유권자탓을 하거나 대중을 낮잡아보는 나르시즘 섞인 엘리트의 모습을 보이지 않던 사람. 끊임없이 소통하려고 했던 모습이 현 시대를 살아가는 정치인들에게 본이 된다고 생각한다.
디센트,10,공포영화하면 매년 생각나는
듄,2,와 정말 음악은 고막을 뚫을 만큼 크고이게 뭔 내용인지 이해가 안됨너무 지루해서 잠자려고 했는데소리가 너무 커서 잘수도 없음이 영화는 뭘 의미한걸까?(초5)
라스트 듀얼: 최후의 결투,10,"탄탄한 스토리, 탄탄한 연기, 탄탄한 연출"
듄,1,진짜 재미없었음 중간에 나갈뻔전개 느리고 액션신 별로고 스토리를 위한 긴 대사만 많음
듄,2,진짜 존린다 워너브로더스 아 왜이러지
분노의 폭발,3,보기에 무난하다  하지만 별다를거 없는 그저그런 헐리웃 영화
언페이스풀,9,"남편의 정성, 아내의 욕정자수했을 남편의 성정, 떠났을 아내의 성정"
불꽃처럼 나비처럼,2,민비와 홍계훈을  미화시킨 영화
인생은 아름다워,7,남상미 때문에 봤는데 기억이 가끔나네
모가디슈,9,사실 그대로의 표현이 생동감 있어서 좋았음
수색자,8,돈들어간데 비하면 영화는 잘 만든거 같다.  반전도 있고 단체를 위한 소수의 말살이 과연정당한가 ??  라는걸 생각하게 해주는..
락아웃: 익스트림미션,5,
베놈 2: 렛 데어 비 카니지,8,저는  ost도  들을만 했고  다 볼만 했습니다
듄,9,기대이상인데?
듄,4,"영화보다 3번 졸았음. 쓸때없는 영상, 대사. 후속편 기대 안됨. 영상과 사운드만 오케이"
라스트 듀얼: 최후의 결투,10,배우들의 연기력 만으로도 충분히 볼만한 가치가 있는 작품이다.. 조디코머 연기 변신 진짜 최고였다ㄷㄷ
모가디슈,8,아프가니스탄의 기적이 일어난 뒤에 봐서 그런지 엄청 몰입하면서 봤어요!
베놈 2: 렛 데어 비 카니지,6,캐릭터들에 깊이감이 없어요 길게 설명하기엔 스포일러 포함될 것 같고 보통 이런 IP 영화들은 캐릭터가 멋있어서 보는건데 그거 빼고나니까 사운드랑 액션밖에 안남네요
스페셜 시큐리티 : 라스트 미션,10,저는 재밌게 잘봤어요 ㅎㅎㅎ
라스트 듀얼: 최후의 결투,10,생각보다 더 재미있게 본 영화였습니다:)
듄,8,개인적으로 너무너무 재미있었습니다
베놈 2: 렛 데어 비 카니지,2,지금 보고 있는데 10살 이하만 추천
듄,10,듄...다음편이 기대됨♡
듄,8,이 감독 좋아해서 봤는데 영상미 뭐 이런건 다 좋음 근데 설정이 뭔지 잘 모르겠음 전투하면서 칼찌 하길래 총은 없는 세계관인가 했더니 나중에 총이 나옴 종교전쟁은 어디서 나온거여? 영화에 집중해도 뭔지 모르겠음 원작 봐야할 듯
모가디슈,8,간만에 기대했었던 영화이고 기대만큼의 재미를 선사해준 영화다. 남북으로 민감한 시기에 공동경비구역 JSA의 향수를 느끼게 만든 영화.
콰이어트 플레이스 2,8,긴장감있고 재미있음. 괴물이 많이 나약해진 듯함
콰이어트 플레이스 2,8,긴장감있고 재미있음. 괴물이 많이 나약해진 듯함
바이크 솔저,10,진짜 재밌었음...  굿굿
듄,10,좋았다. 성경과 석유전쟁사를 멋지게 버무린 것같다.
듄,10,설명하려 애썻다.. 화려한 영상미와 내용연출 매우 좋았음 시간가는 줄 조금은 알고 봤음ㅋ
듄,10,2시간 반 동안 시간 가는줄 모르고 봤네요 !
